input_id,model,latency_ms,input_tokens,output_tokens,cost_usd,quality_score_1to5,notes
1,openai/gpt-oss-120b,463,175,127,0.00010245,5,Success
1,meta-llama/llama-4-scout-17b-16e-instruct,354,112,109,4.938e-05,5,Success
1,allam-2-7b,136,117,75,0.0,5,Success
2,openai/gpt-oss-120b,363,154,134,0.0001035,5,Success
2,meta-llama/llama-4-scout-17b-16e-instruct,408,92,93,4.174e-05,5,Success
2,allam-2-7b,126,97,58,0.0,4,Success
3,openai/gpt-oss-120b,269,148,91,7.68e-05,5,Success
3,meta-llama/llama-4-scout-17b-16e-instruct,554,86,86,3.87e-05,5,Success
3,allam-2-7b,138,93,70,0.0,5,Success
4,openai/gpt-oss-120b,329,147,113,8.985e-05,5,Success
4,meta-llama/llama-4-scout-17b-16e-instruct,381,84,77,3.542e-05,4,Success
4,allam-2-7b,138,89,83,0.0,4,Success
5,openai/gpt-oss-120b,306,145,104,8.415e-05,5,Success
5,meta-llama/llama-4-scout-17b-16e-instruct,508,82,77,3.52e-05,4,Success
5,allam-2-7b,134,93,80,0.0,5,Success
6,openai/gpt-oss-120b,277,141,96,7.875e-05,5,Success
6,meta-llama/llama-4-scout-17b-16e-instruct,342,79,69,3.215e-05,5,Success
6,allam-2-7b,127,87,75,0.0,5,Success
7,openai/gpt-oss-120b,3359,146,85,7.29e-05,5,Success
7,meta-llama/llama-4-scout-17b-16e-instruct,404,82,67,3.18e-05,5,Success
7,allam-2-7b,142,90,88,0.0,5,Success
8,openai/gpt-oss-120b,3396,146,104,8.43e-05,5,Success
8,meta-llama/llama-4-scout-17b-16e-instruct,278,83,77,3.531e-05,5,Success
8,allam-2-7b,167,91,118,0.0,4,Success
9,openai/gpt-oss-120b,2605,140,186,0.0001326,5,Success
9,meta-llama/llama-4-scout-17b-16e-instruct,672,78,73,3.34e-05,5,Success
9,allam-2-7b,141,87,87,0.0,5,Success
10,openai/gpt-oss-120b,2277,143,84,7.185e-05,5,Success
10,meta-llama/llama-4-scout-17b-16e-instruct,253,80,76,3.464e-05,5,Success
10,allam-2-7b,136,89,75,0.0,4,Success
11,openai/gpt-oss-120b,3969,141,116,9.075e-05,5,Success
11,meta-llama/llama-4-scout-17b-16e-instruct,301,78,79,3.544e-05,5,Success
11,allam-2-7b,141,83,84,0.0,5,Success
12,openai/gpt-oss-120b,2350,135,85,7.125e-05,5,Success
12,meta-llama/llama-4-scout-17b-16e-instruct,328,72,65,3.002e-05,5,Success
12,allam-2-7b,139,77,85,0.0,5,Success
13,openai/gpt-oss-120b,1325,135,77,6.645e-05,5,Success
13,meta-llama/llama-4-scout-17b-16e-instruct,318,72,65,3.002e-05,5,Success
13,allam-2-7b,126,79,70,0.0,5,Success
14,openai/gpt-oss-120b,2331,139,82,7.005e-05,5,Success
14,meta-llama/llama-4-scout-17b-16e-instruct,261,76,77,3.454e-05,4,Success
14,allam-2-7b,149,82,85,0.0,5,Success
15,openai/gpt-oss-120b,1324,135,96,7.785e-05,5,Success
15,meta-llama/llama-4-scout-17b-16e-instruct,411,72,63,2.934e-05,5,Success
15,allam-2-7b,126,74,74,0.0,5,Success
16,openai/gpt-oss-120b,2325,137,79,6.795e-05,5,Success
16,meta-llama/llama-4-scout-17b-16e-instruct,242,73,71,3.217e-05,5,Success
16,allam-2-7b,120,78,47,0.0,4,Success
17,openai/gpt-oss-120b,2350,128,82,6.84e-05,5,Success
17,meta-llama/llama-4-scout-17b-16e-instruct,379,65,75,3.265e-05,5,Success
17,allam-2-7b,117,72,55,0.0,5,Success
18,openai/gpt-oss-120b,513,134,97,7.83e-05,5,Success
18,meta-llama/llama-4-scout-17b-16e-instruct,303,71,62,2.889e-05,5,Success
18,allam-2-7b,134,81,83,0.0,4,Success
19,openai/gpt-oss-120b,3417,130,106,8.31e-05,5,Success
19,meta-llama/llama-4-scout-17b-16e-instruct,508,67,56,2.641e-05,5,Success
19,allam-2-7b,132,76,79,0.0,5,Success
20,openai/gpt-oss-120b,2455,131,103,8.145e-05,5,Success
20,meta-llama/llama-4-scout-17b-16e-instruct,305,68,64,2.924e-05,5,Success
20,allam-2-7b,133,71,69,0.0,5,Success
